run_dir,fold,task,fusion,modalities,seed,shuffle_train_labels,n_train_internal,n_internal_val,n_test_heldout,params,size_mb,test_accuracy,test_macro_f1,test_weighted_f1,test_n,nonoverlap_accuracy,nonoverlap_macro_f1,nonoverlap_weighted_f1,nonoverlap_n,folder_majority_accuracy,folder_majority_macro_f1,folder_majority_weighted_f1,folder_majority_n,majority_baseline_accuracy,majority_baseline_macro_f1,majority_baseline_weighted_f1,majority_baseline_n,majority_class,zero_audio_accuracy,zero_audio_macro_f1,zero_image_accuracy,zero_image_macro_f1,zero_imu_accuracy,zero_imu_macro_f1,zero_tof_accuracy,zero_tof_macro_f1,zero_mag_accuracy,zero_mag_macro_f1,config_key
experiments_lopgo/full_lopgo_search/test_p1p2__activity__gated__imu-mag-audio__seed42,test_p1p2,activity,gated,imu+mag+audio,42,False,10531,2577,19415,146566,1.889129638671875,0.8781354622714396,0.8685863594283704,0.8722572110897221,19415,0.8782799561009678,0.8687228322535185,0.87232935320943,10023,0.888243831640058,0.877585641500628,0.8827077927861451,689,0.3617821272212207,0.17711209450685225,0.19222797092188465,19415,walk,0.5782642286891578,0.47475460849231527,,,0.5330414627865053,0.4346990402326371,,,0.8777749163018285,0.8682779831346058,activity__gated__imu+mag+audio
experiments_lopgo/full_lopgo_search/test_p3__activity__gated__imu-mag-audio__seed42,test_p3,activity,gated,imu+mag+audio,42,False,17720,4430,10373,146566,1.889129638671875,0.9907452038947266,0.9906473202602589,0.990726072654299,10373,0.9910263600673023,0.9909617406987415,0.9910075276074951,5349,0.997289972899729,0.9973356686038798,0.9972893688016571,369,0.36103345223175554,0.17684280115219342,0.1915385010069308,10373,sitting,0.35177865612648224,0.22501443635881543,,,0.3653716379061024,0.2552881609755194,,,0.9234551238793021,0.9251373053029086,activity__gated__imu+mag+audio
experiments_lopgo/full_lopgo_search/test_p4__activity__gated__imu-mag-audio__seed42,test_p4,activity,gated,imu+mag+audio,42,False,23783,6005,2735,146566,1.889129638671875,1.0,1.0,1.0,2735,1.0,1.0,1.0,1417,1.0,1.0,1.0,105,0.34771480804387567,0.17200217037438958,0.17942310496458264,2735,walk,0.34771480804387567,0.17200217037438958,,,0.7956124314442413,0.7678119373556213,,,1.0,1.0,activity__gated__imu+mag+audio
experiments_lopgo/full_lopgo_search/test_p1p2__activity__single__imu__seed42,test_p1p2,activity,single,imu,42,False,10531,2577,19415,83747,1.0403518676757812,0.8349214524851919,0.8360657090363827,0.8363141095260739,19415,0.8349795470418039,0.8361234698357337,0.8363948505456023,10023,0.8432510885341074,0.8440788848415046,0.844209106918287,689,0.3617821272212207,0.17711209450685225,0.19222797092188465,19415,walk,,,,,,,,,,,activity__single__imu
experiments_lopgo/full_lopgo_search/test_p3__activity__single__imu__seed42,test_p3,activity,single,imu,42,False,17720,4430,10373,83747,1.0403518676757812,0.8174105851730454,0.7951253549719276,0.8013061652209448,10373,0.8162273322116284,0.7938036912099197,0.800087190140511,5349,0.8265582655826558,0.8029309681952564,0.8084274976942188,369,0.36103345223175554,0.17684280115219342,0.1915385010069308,10373,sitting,,,,,,,,,,,activity__single__imu
experiments_lopgo/full_lopgo_search/test_p4__activity__single__imu__seed42,test_p4,activity,single,imu,42,False,23783,6005,2735,83747,1.0403518676757812,1.0,1.0,1.0,2735,1.0,1.0,1.0,1417,1.0,1.0,1.0,105,0.34771480804387567,0.17200217037438958,0.17942310496458264,2735,walk,,,,,,,,,,,activity__single__imu
experiments_lopgo/full_lopgo_search/test_p1p2__surface__concat__audio-image__seed42,test_p1p2,surface,concat,audio+image,42,False,3402,824,7024,165573,2.0483245849609375,0.9854783599088838,0.9850258963708765,0.9854594282655018,7024,0.9858960176991151,0.9852512046475089,0.9858790579674233,3616,0.9960474308300395,0.9967126124377144,0.9960407805486431,253,0.28929384965831434,0.08975265017667845,0.12982444843323648,7024,sand,0.28929384965831434,0.08975265017667845,0.42255125284738043,0.25508070541351957,,,,,,,surface__concat__audio+image
experiments_lopgo/final_stability/test_p1p2__surface__concat__audio-image__seed43,test_p1p2,surface,concat,audio+image,43,False,3364,862,7024,165573,2.0483245849609375,0.9770785876993167,0.9757262319955642,0.9770502590915567,7024,0.9753871681415929,0.9737387805723315,0.975347992271163,3616,0.9960474308300395,0.9967126124377144,0.9960407805486431,253,0.28929384965831434,0.08975265017667845,0.12982444843323648,7024,sand,0.28929384965831434,0.08975265017667845,0.33869589977220954,0.21420544633417787,,,,,,,surface__concat__audio+image
experiments_lopgo/final_stability/test_p1p2__surface__concat__audio-image__seed44,test_p1p2,surface,concat,audio+image,44,False,3369,857,7024,165573,2.0483245849609375,0.9802107061503417,0.9792631814156719,0.9802104328587219,7024,0.980641592920354,0.9797199543109507,0.980648648457763,3616,0.9960474308300395,0.9956668608037275,0.9960511140628129,253,0.28929384965831434,0.08975265017667845,0.12982444843323648,7024,sand,0.17084282460136674,0.06804926558109448,0.34923120728929385,0.21918417884566202,,,,,,,surface__concat__audio+image
experiments_lopgo/full_lopgo_search/test_p3__surface__concat__audio-image__seed42,test_p3,surface,concat,audio+image,42,False,6349,1626,3275,165573,2.0483245849609375,0.9581679389312977,0.9588702365231253,0.958676717366623,3275,0.9553571428571429,0.9565479386200646,0.9560311426296477,1680,1.0,1.0,1.0,118,0.28458015267175574,0.08861421440456382,0.12608923332069233,3275,sand,0.17923664122137403,0.060797514241325734,0.17862595419847327,0.06063747084736979,,,,,,,surface__concat__audio+image
experiments_lopgo/final_stability/test_p3__surface__concat__audio-image__seed43,test_p3,surface,concat,audio+image,43,False,6324,1651,3275,165573,2.0483245849609375,0.9541984732824428,0.9552126158926562,0.9548449722492861,3275,0.9529761904761904,0.9545289505552071,0.9535560365061334,1680,1.0,1.0,1.0,118,0.28458015267175574,0.08861421440456382,0.12608923332069233,3275,sand,0.17923664122137403,0.060797514241325734,0.4299236641221374,0.3741930639835496,,,,,,,surface__concat__audio+image
experiments_lopgo/final_stability/test_p3__surface__concat__audio-image__seed44,test_p3,surface,concat,audio+image,44,False,6432,1543,3275,165573,2.0483245849609375,0.9584732824427481,0.9601145026912119,0.9590932605471955,3275,0.9553571428571429,0.9578513167856835,0.9560092778586524,1680,1.0,1.0,1.0,118,0.28458015267175574,0.08861421440456382,0.12608923332069233,3275,sand,0.17923664122137403,0.060797514241325734,0.33221374045801527,0.21917694718523678,,,,,,,surface__concat__audio+image
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__audio-image__seed42,test_p4,surface,concat,audio+image,42,False,8248,2051,951,165573,2.0483245849609375,0.9800210304942166,0.9801300338959186,0.9796171545028657,951,0.9837728194726166,0.9838712911667351,0.9835093485602554,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.1829652996845426,0.06186666666666667,,,,,,,surface__concat__audio+image
experiments_lopgo/final_stability/test_p4__surface__concat__audio-image__seed43,test_p4,surface,concat,audio+image,43,False,8180,2119,951,165573,2.0483245849609375,0.9747634069400631,0.9741777977174149,0.9742096770534904,951,0.9756592292089249,0.9753754613864425,0.975258914368492,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.2733964248159832,0.22800356984583522,,,,,,,surface__concat__audio+image
experiments_lopgo/final_stability/test_p4__surface__concat__audio-image__seed44,test_p4,surface,concat,audio+image,44,False,8247,2052,951,165573,2.0483245849609375,0.9842271293375394,0.9851524840099894,0.984072123206596,951,0.9858012170385395,0.9868952177788435,0.9856575137443321,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.19348054679284962,0.08757875736807966,,,,,,,surface__concat__audio+image
